date,time,tempTemperature,tempFeelsLike,tempDewpoint,tempHumidity,tempPressure,tempVisibility,windDir,tempWindSpeed,tempGustSpeed,tempPrecip,Events,Condition
2017-01-19,9:51 PM,42.1,39.2,32,67,30.01,10,Variable,4.6,0,0,None,Partly Cloudy
2017-12-07,7:51 PM,42.1,39.2,19.9,41,30,10,Variable,4.6,16.1,0,None,Mostly Cloudy
2017-02-07,12:51 AM,42.1,39.2,34,73,29.99,8,NE,4.6,0,0,None,Clear
2017-12-07,6:51 PM,42.1,39.2,19.9,41,29.99,10,Variable,4.6,0,0,None,Partly Cloudy
2017-12-06,5:51 PM,42.1,39.2,18,38,29.99,10,Variable,4.6,0,0,None,Clear
2017-11-26,6:51 PM,42.1,39.2,23,47,29.98,10,Variable,4.6,0,0,None,Clear
2017-01-20,3:59 PM,42.1,39.2,37.9,85,29.95,6,South,4.6,0,0,Rain,Light Rain
2017-02-05,10:51 PM,42.1,39.2,21,43,29.91,10,Variable,4.6,0,0,None,Overcast
2017-01-21,3:51 AM,42.1,39.2,39.9,92,29.89,4,West,4.6,0,0,None,Overcast
2017-12-23,1:27 PM,42.1,39.2,41,96,29.71,4,ENE,4.6,0,0.02,Rain,Light Rain
2017-01-29,3:51 PM,42.1,39.2,14,32,29.69,10,West,4.6,0,0,None,Scattered Clouds
2017-12-23,1:51 PM,42.1,39.2,41,96,29.68,3,ENE,4.6,0,0.02,None,Overcast
2017-01-04,4:51 AM,42.1,39.2,39,89,29.44,10,West,4.6,0,0,None,Overcast
2017-01-04,3:51 AM,42.1,39.2,39,89,29.44,10,WSW,4.6,0,0,None,Overcast
2017-02-20,8:51 AM,45,39.3,30,56,30.17,10,WNW,11.5,0,0,None,Clear
2017-01-01,10:51 AM,45,39.3,23,42,30.16,10,NW,11.5,18.4,0,None,Clear
2017-11-10,4:24 AM,46,39.3,39.9,79,30,10,WNW,16.1,25.3,0,None,Overcast
2017-04-07,9:51 AM,46,39.3,32,58,29.35,10,WSW,16.1,26.5,0,None,Overcast
2017-02-27,9:51 AM,43,39.5,21.9,43,30.43,10,Variable,5.8,0,0,None,Clear
2017-12-01,10:51 PM,43,39.5,28,56,30.29,10,Variable,5.8,0,0,None,Clear
2017-12-01,8:51 PM,44.1,39.5,28.9,55,30.28,10,North,8.1,0,0,None,Clear
2017-01-10,9:51 PM,44.1,39.5,37,76,30.27,10,South,8.1,23,0,None,Overcast
2017-11-08,9:51 AM,43,39.5,34,71,30.27,10,Variable,5.8,0,0,None,Overcast
2017-03-17,2:51 PM,44.1,39.5,12,27,30.18,10,WSW,8.1,0,0,None,Clear
2017-11-07,3:51 AM,43,39.5,33.1,68,30.16,10,North,5.8,0,0,None,Clear
2017-03-19,7:51 PM,43,39.5,12.9,30,30.14,10,Variable,5.8,0,0,None,Clear
2017-11-21,7:51 AM,44.1,39.5,30,58,30.13,10,SW,8.1,18.4,0,None,Clear
2017-11-21,1:51 AM,43,39.5,25,49,30.12,10,Variable,5.8,0,0,None,Clear
2017-11-17,5:51 PM,44.1,39.5,15.1,31,30.08,10,WNW,8.1,0,0,None,Clear
2017-02-22,2:51 AM,43,39.5,34,71,30.07,10,Variable,5.8,0,0,None,Clear
2017-04-02,1:37 AM,44.1,39.5,34,68,30.07,10,NW,8.1,0,0,None,Overcast
2017-11-27,8:51 AM,43,39.5,26.1,51,30.05,10,Variable,5.8,0,0,None,Clear
2017-03-29,7:51 AM,44.1,39.5,37.9,79,30.04,10,North,8.1,0,0,None,Mostly Cloudy
2017-01-01,7:51 AM,44.1,39.5,26.1,49,30.04,10,West,8.1,0,0,None,Clear
2017-02-02,11:51 AM,43,39.5,16,34,30.03,10,Variable,5.8,17.3,0,None,Scattered Clouds
2017-03-29,6:51 AM,44.1,39.5,37.9,79,30.03,10,NNW,8.1,0,0,None,Overcast
